"context","target"
"WARN_VEH_NONE","Boya işinizin desteklemesi için lütfen en az bir kamyon, römork veya mod seçin."
"WARN_VEH_NONES","Hiç araç seçilmedi."
"WARN_VEH_INCOM","Uyumsuz araçlar"
"WARN_TEXT","Devam etmeden önce aşağıdaki hataların düzeltilmesi gerekiyor:"
"CONFIRM_STARTT","Başa dön?"
"CONFIRM_START","Başa dönerseniz kaydedilmemiş tüm ilerlemenizi kaybedersiniz."
"CONFIRM_TEXT","Devam etmek istediğinize emin misiniz?"
"CONFIRM_LOADT","Proje yüklensin mi?"
"CONFIRM_LOAD","Bir proje yüklerseniz kaydedilmemiş tüm ilerlemenizi kaybedersiniz."
"CONFIRM_SAVET","Mod dışa aktarılmıyor."
"CONFIRM_SAVE","Bu fonksiyon, Paint Job Packer projenizi daha sonra geri dönmek üzere kaydetmek içindir; modunuzu dışa aktarmak için değildir."
"CONFIRM_SAVEE","Modunuzu dışa aktarmak için, Oyun İçi Boya İş Bilgisi ekranından Dışa Aktar’a basın."
"SAVE_TITLE","Projeyi Kaydet"
"SAVE_INVALT","Geçerli bir proje dosyası değil."
"SAVE_INVAL","Seçilen dosya bir Paint Job Packer proje dosyası değil."
"SAVE_INVALQ","Bunun yerine %s olarak kaydetmek ister misiniz?"
"LOAD_TITLE","Proje Yükle"
"LOAD_INVAL","Lütfen bir .pjpproject dosyası seçin."
"EXPORT_TITLE","Mod Dışa Aktarma Seçenekleri"
"EXPORT_CHOOSE","Dışa aktarma konumunu seçin."
"EXPORT_SELECT","Lütfen modunuzu dışa aktarmak için bir konum seçin."
"EXPORT_FOLDER","Seçilen konum: %s"
"EXPORT_CREATE","%s klasörü oluşturulacak."
"EXPORT_EMPTY","Boş yer tutucular kullanın."
"EXPORT_TEMPLATES","Şablonları kullanın."
"EXPORT_WINDOW","Modu Dışa Aktar"
"EXPORT_EXISTST","Klasör zaten mevcut."
"EXPORT_EXISTS","%s klasörü zaten mevcut."
"EXPORT_EXISTS2","Lütfen farklı bir konum seçin veya %s klasörünü silin."
"EXPORT_READY","Modu dışa aktarmaya hazır :)"
"EXPORT_DONET","Dışa aktarma tamamlandı."
"EXPORT_DONE","Modunuz şuraya dışa aktarıldı:"
"EXPORT_DONE2","Paint Job Packer’ı kullandığınız için teşekkürler! Çıkmak için Tamam’a basın."
"THEME_DARK","Koyu Mod"
"THEME_LIGHT","Açık Mod"
"WSHOP_LOCAL","Steam Atölyesi dosyaları oluşturmayın."
"WSHOP_WSHOP","Steam Atölyesi dosyaları oluşturun."
"CHANGE_TITLE","Renk Maske Modu"
"CHANGE_DEFAULT","Varsayılan renk:"
"CHANGE_RED","Kırmızı"
"CHANGE_GREEN","Yeşil"
"CHANGE_BLUE","Mavi"
"CHANGE_ENABLE","Etkinleştirildi"
"CHANGE_USER","Kullanıcı tarafından değiştirilebilir"
"HELP_MNAME","Modunuzun mod yöneticisindeki adı."
"HELP_MAUTH","Modunuzun yazarı, mod yöneticisinde gösterilir"
"HELP_MVER","Modunuzun sürümü, mod yöneticisinde gösterilir"
"HELP_MDESC","Modunuzun açıklaması, mod yöneticisinde gösterilir"
"HELP_PNAME","Boya işinizin adı, oyundaki yükseltme mağazasında gösterilir"
"HELP_PRICE","Boya işinizin oyun içi yükseltme mağazasındaki fiyatı"
"HELP_UNLOCK","Kullanıcıların boya işinizi hangi seviyede satın alabileceği veya yeni bir profilde varsayılan olarak kilitsiz olup olmadığı"
"HELP_INAME","Oyun tarafından boya işinizi tanımlamak için kullanılan benzersiz ad. Mod kullanıcıları bu adı GÖRMEZ"
"HELP_CABIN","Boya işinizin yalnızca her kamyonun en büyük kabinini mi yoksa tüm kabinleri mi destekleyeceği"
"HELP_SPLIT","Tek bir boya işi oluşturmak mı yoksa her kabin için ayrı ayrı bölmek mi gerektiği"
"HELP_BASE","Boya işinizdeki şeffaf kısımlardan görünen temel renk"
"HELP_CHANGE","Normal boya yerine kırmızı, yeşil ve mavi içeren bir boya maskesi oluşturmanızı gerektirir. Birden fazla değiştirilebilir renk sağlar ancak tam renkli logo vb. desteklemez"
"HELP_CHANGER","Parlak kırmızı olarak görünür (#FF0000)"
"HELP_CHANGEG","Parlak yeşil olarak görünür (#00FF00)"
"HELP_CHANGEB","Parlak mavi olarak görünür (#0000FF)"
"CHANGE_BASE","Temel Renk"
